Tuple SVO,Sentence
"['Mr. Reagan', 'kill', 'agency']","Mr. Reagan, in his first term, tried to kill the agency."
"['message', 'kill', 'itself']",The message was programmed to be seen only once -- on March 2 -- `` then it killed itself'' she said.
"['kill off', 'those programs']",But let 's be specific and kill off only those programs that aren't working.
"['Centralization','kill', 'motivation']","Centralization , on the other hand , kills motivation and crushes the human spirit."
"['Making Paris-Dakar rally', 'kill', 'it']","Making the Paris-Dakar rally less perilous , Mr. Sabine says , might kill it."
"['determination', 'kill', 'Contra request']","Let Jim Wright , Chris Dodd , Tony Coelho , David Bonior , Mike Lowry and David Obey explain in the papers every day why their determination to kill the Contra request represents the proudest foreign-policy achievement of the Democratic Party in 1988."
"['they', 'kill', 'it']","The market had a bad spill on Friday, and normally when that happens they absolutely kill it on Monday , '' said Bernard Savaiko , senior precious metals analyst for PaineWebber Inc . , New York."
"['The deal', 'be killed', 'by MCA management']","The deal was finally killed by MCA management , Mr. Olson says."
"['Employee leasing', 'be killed', 'by Tax Reform Act of 1986']","EMPLOYEE LEASING was supposed to be killed , or at least maimed , by the Tax Reform Act of 1986."
[],"Senator Kennedy , and the handful of legislators who knew about the secret provision , intended to kill two unfriendly newspapers."
[],He killed 47 in one month.
[],"After such warfare killed or maimed millions in World War I , public horror brought an international agreement in 1925 to ban it forever."
[],"In fact , nursery accidents killed an average of 81 children a year between 1980 and 1986."
[],The failure of a rocket joint touched off the January 1986 explosion that killed the seven Challenger astronauts.
[],"According to this scenario and much insider speculation , the plot to kill Mr. Ozal may have originated with a middle-level official whose career was threatened."
[],"Last Tuesday , a federal jury in Akron , Ohio said it couldn't identify a defect that could have caused an Audi 5000 to suddenly accelerate in an accident that killed a six-year-old boy."
[],"Soviet officials acknowledged that several people were killed and others injured in recent ethnic unrest in Sumgait , in the republic of Azerbaijan."
[],"`` But we found that at the end of three weeks , they want to kill you."
[],"The observers in Seoul are convinced North Korea was responsible for the Nov. 29 bombing of a Korean Air Lines flight near Burma , which killed 115."
[],"But the Nazis didn't occupy Hungary , and kill half a million Jews , until 1944."
[],"Enseco Inc. said an explosion early yesterday at a unit 's plant in Berkeley Heights , N.J . , killed three people and seriously injured a fourth."
[],"It kills the parasite residing in red blood cells and has few side effects , SmithKline said."
[],The mishap killed a flight attendant.
[],The fire killed a building engineer trapped in an elevator and injured 40 custodial workers and firefighters.
[],"`` If {Shorty} puts down his arms , the campesinos themselves will kill him ."
"['we', 'knock away',  'a third of our equity ']","In 1985 , we took a write-off to finance all this restructuring that knocked a third of our equity away."
"['coalition of civic leaders, civil libertarians and Hispanic groups', 'to knock', 'the amendment']","A coalition of civic leaders , civil libertarians and Hispanic groups had gone to federal court in an unsuccessful attempt to knock the amendment off the ballot."
"['Grand Metropolitan PLC', 'knock down', 'another legal impediment']","Grand Metropolitan PLC , seeking to knock down another legal impediment to its proposed acquisition of Pillsbury Co . , said it would dispose of Pillsbury 's barge and towboat business if it gained control of the Minneapolis food and restaurant concern ."
"['bad news', 'knock down', 'stocks']",Any bad news knocks stocks down.
"['a costly repair', 'knock', 'the price']",Mr. Hauke `` is looking for a much more costly repair that is nonstandard and would knock the price beyond the the { $ 500} limit for a buy-back.
"['similar regulation', 'be knocked out']",A similar regulation in New York was knocked out in court and another court fight is under way in Massachusetts.
"['the dollar and index arbitrage', 'knock down', 'the Dow Jones Industrial Average']","Sure , everybody knows how the trade deficit , the dollar and index arbitrage helped knock the Dow Jones Industrial Average down 101.46 points Thursday."
"['You', 'knock over', 'me']","You could have knocked me over , '' said Joseph Ronning of Brown Brothers Harriman & Co."
"['Incumbent Spyros Kyprianou', 'be knocked out']",Incumbent Spyros Kyprianou was knocked out in voting last week.
"['Mr. Bilzerian's filing', 'knock up', 'FlightSafety's stock']","News of Mr. Bilzerian's filing, under the Hart-Scott-Rodino Antitrust Act , knocked FlightSafety 's stock up $ 2.25 a share yesterday to close at $ 26.75 in New York Stock Exchange composite trading."
"['Another trader', 'knock off', 'his glasses']",Another trader almost had his glasses knocked off in the jostling.
"['a shooter with one blast', 'knock out', 'the female and half-dozen males']","But , if lucky , a shooter with one blast can knock out the female and a half-dozen males tagging along."
"['the tax changes', 'knock out', 'a lot of IRA money']","At the time , his feeling was that even with the tax changes knocking out a lot of IRA money . .. the industry is expected to thrive and become more competitive over the next few years."
"['program trading', 'be knocked out', 'by a huge order backlog']","According to the presidential task force 's report , some of the stock market 's worst drops on Oct. 19 came after program trading was effectively knocked out of commission by a huge order backlog."
[],"I knocked at the bedroom door, and Father said the security company had just called to say there were certain `` irregularities '' that prevented them from keeping a watch over our store ."
[],"In northern Botswana , where the poor quality of their ivory protects elephants from poachers , the elephant population is out of control and has eaten and knocked down many square miles of scrubby forest ."
[],Another trader almost had his glasses knocked off in the jostling .
[],"Cale Yarborough 's car spun out of control on the first turn , '' knocking out nine other vehicles."
[],"Where Chekhov has Lopakhin knocking over a small table , Mr. Dennehy goes crashing into a big , folding screen that 's standing in for a wall."
[],"Earl , a cat with the stuffing knocked out of it -LRB- ostensibly by a car -RRB- , comes with a death certificate ."
[],I confess I fear word will get out that `` the man in the green house is a soft touch '' -- and that I will soon have several `` Clints '' knocking on my door .
[],"The hug knocked off Spinks 's hat , a broad-brimmed , white number ."
[],Rhinos wearing tutus daintily knock workmen aside .
[],"`` It knocked me off my chair , '' says Mr. Bodner , a partner in Howrey & Simon , a Washington firm ."
[],"Once , he said , the page turner at a professional concert knocked over the whole score , causing a crescendo where none was intended ."
[],"-- Last September , 22-year-old Kimberly Isaac of Baton Rouge , La . , was badly scraped over a large part of her body when a 1977 LTD she had just parked in a grocery-store lot backed up , knocking her over and dragging her in circles ."
[],"We union members were there backing John Kennedy with our money , door knocking and votes in 1960."
[],"And most of the jobs will go to candidates sought out by search firms , not those knocking on headhunter doors."
"['governments', 'lend', 'helping hand']","It is to correct for such gaps in market operations -LRB- or `` externalities , '' as economists call them -RRB- that governments have a responsibility to step in and lend a helping hand ."
"['independent-minded unit', 'lend', 'vital aid']","The agreement also helps avoid bickering between Texaco and its independent-minded unit , which pledged to lend its vital aid in the sale ."
"['stronger start', 'lend', 'helping hand']",London share prices settled just below their best levels as a stronger start on Wall Street lent a helping hand .
"['firmer U.S. interest rates', 'lend', 'support']","Still , market participants say the firmer U.S. interest rates will lend support to the dollar if tomorrow 's report shows that the trade gap widened in June ."
"['public personalities', 'to lend', 'their services']","At the mawkish end of the scale , where nothing is funny and everything is terribly high-minded , we find several of the public personalities who were kind enough to lend their services to `` Tanner '88 ."
"['This', 'lend', 'greater U.S. support']",This ought to lend greater U.S. support for fighting more overseas wars.
"['an expected improvement in the U.S. September trade deficit over the August report', 'lend', 'temporary support']","On the U.S. side of the equation , Mr. Hodge said the improved October U.S. jobs data , the election and an expected improvement in the U.S. September trade deficit over the August report will all lend only temporary support to the dollar on its downward trend."
"['they', 'lend', 'meaning']","Instead of being directed at the Mafia , they are being used to lend meaning to fuzzy laws and test novel legal theories in cases against Bob Wallach , securities officials from firms such as Princeton Newport and presumably Drexel Burnham , and now the Marcos family."
"['electronically controllable polymers', 'lend', 'themselves']","Mr. Hopfield , known mainly for his work on neural networks , believes that electronically controllable polymers may lend themselves to the complicated wiring of neural networks."
"['new securities products', 'lend', 'additional offering']",Although underwriters typically attempt to have new securities products introduced by borrowers other than themselves -- in order to lend additional credibility to the offering -- Merrill said it wanted to do the borrowing itself.
"['The West German Bundesbank', 'lend', 'little or no support']","The West German Bundesbank 's decision to boost its rate on securities repurchase agreements by 0.25 percentage point to a fixed 4.25 % rate came as no surprise , traders said , and lent little or no support to the mark against the dollar."
"['the report', 'lend', 'credence']","But the report , published in today 's edition of Science , lends credence to a body of opinion that HIV-2 in some cases may not ravage T-4 cells -- immune sentries of the bloodstream -- as much as it harms cells of the brain or bowel , said Dr. Levy in an interview."
