Input;Output (Subject, Verb, Object For Active voices) and (Object, Verb, Subjet For Passive Voices)
But in the short-term it will absorb a lot of top management 's energy and attention, '' says Philippe Haspeslagh , a business professor at the European management school , Insead , in Paris;[(it, absorb, management's energy and attention)]
Shocks from one-time changes in the terms of trade should [be absorbed by adjustments in exchange-rate terms -- not price levels.;[(Shock, be absorbed, adjustment in exchange-rate terms)]
During the past 18 months , the Houston-based unit of Texas Air Corp absorbed several carriers, in the process inheriting a hodge-podge of different aircraft.;[(the Houston-based unit of Texas Air Corp, absorb, carrier)]
In the years since 1853 , when 4 , 058 steamboats arrived at the Cincinnati waterfront loaded with `` foreign '' people and exotic merchandise , Cincinnati residents [have absorbed chili and pizza and wontons and dirty rice while adjusting to electric music and jet lag.;[(Cincinnati resident, absorb, chili and pizza and wonton and dirty rice)]
Mr. Wyss of Data Resources suggested that factories may be having difficulty hiring new workers at a time of such low unemployment or may simply not be able to absorb as many new workers as they would like.;[(factory, absorb, worker)]
Management of three of the five highest yielding general purpose funds, as ranked by the Donoghue Organization, absorb a portion of fund expenses.;[(Management of fund, absorb, an expense)]
For the past 10 years the House Subcommittee on Africa, first under Stephen Solarz (D., N.Y.) and now under Howard Wolpe (D., Mich.), has annually assaulted White House requests for aid appropriations.;[(the House Subcommittee, assaulte, White House request)]
BEST -- Baker: Attempted in each post to make government function using, not assaulting, the democratic process.;[(he, not assault, the democratic process)]
But here again investor confidence -- and particularly the confidence of foreign investors -- was being assaulted almost daily with news of the budgetary circus in Congress and the congressional war against the Reagan administration.;[(investor confidence, be assaulted, news)]
Sound is not the only thing with which the audience is assaulted at Chess.;[(the audience, be assaulted, sound)]
It was no mugger who assaulted the elderly woman.;[(no mugger, assault, woman)]
Now that the Reagan Revolution has come and gone, will conservatives turn on one another as zestfully as they have assaulted modern liberals.;[(conservative, assault, modern liberal)]
Then two industry trade groups sued the state, attacking the lemon law's constitutionality.;[(two industry trade group, attack, the lemon law's constitutionality)]
And so it is on the grounds of insufficient candor that the resourceful Mr. Goldman, hot to debunk, attacks his subject;[(Mr. Goldman, attack, his subject)]
The approach is raising eyebrows in the cigarette industry, which generally refrains from attacking the competition by name.;[the cigarette industry, attack, the competition)]
"Last April, the Association of American Universities published a report attacking the restrictiveness as ""ultimately self-defeating.""";[(the Association of American Universities, attack, the restrictiveness)]
The specialist system has been attacked frequently since the October market crash, especially by the Chicago-based futures markets.;[(the specialist system, has been attacked, the market)]
These pamphlets were among dozens written just after the Tulipmania by anti-speculative partisans attacking the speculative markets and especially futures trading.;[(anti-speculative partisan, attacking, the speculative market and trading)]
I had heard about Powelson from another classicist at the University of Maryland, and then Powelson began to besiege me with letters asking for an invitation, says Mr. Ambrose.;[(Powelson, besiege, me)]
NTN Toyo Bearing Co., a Japanese firm with plants in the U.S., is being besieged by potential buyers and has lead times of seven to 13 months.;[(Company, be besieged, potential buyers)]
The marauding huns of the takeover game are besieging ever-larger corporate kingdoms.;[(game, be besieged, ever-larger corporate kingdoms)]
For their part, though, Chicago aldermen have been too busy functioning as art critics to besiege the statehouse in Springfield on behalf of the team, and state legislators have shown more inclination to clown than to move quickly or positively.;[(Chicago aldermen, besiege, the statehouse)]
At Russell Field here he is besieged for autographs and his ears are bent relentlessly by people, mostly older ones, who want to share baseball memories.;[(he, be besieged, people)]
Public judges could appear, in the public imagination, as nothing more than besieged bureaucrats.;[(Public judge, besiege, bureaucrat)]
They do it to cool off the market, so to speak, because they need the copper and when they are buying they find themselves chasing the market upward, he said.;[(they, cool off, the market)]
"Mr. Lawson insists the acceleration is but ""a blip"" and says recently imposed higher interest rates will cool things off without interrupting growth.";[(interest rate, cool off, thing )]
Mr. Feldt insisted that the need to cool the high-flying capital markets -- and placate his party's union supporters at a sensitive juncture in the election campaign -- outweighed the Riksbank's arguments.;[(Mr. Feldt, cool, the high-flying capital market)]
Some say interest rates may have to rise further to cool domestic demand, while others say the problem is more deep-rooted and requires greater investment by United Kingdom industry.;[(interest rates, cool, domestic demand)]
Fed officials hope for signs soon that the economy is slowing, which would cool the need for further rate increases.;[(the Fed, cool, the economy)]
But several analysts predict the Fed will push short-term rates slightly higher later this year in hopes of cooling the economy and restraining inflation pressures.;[(the economy, cool, the need)]
Excessive rates of income tax destroy enterprise, encourage avoidance, and drive talent to more hospitable shores overseas.;[(rate of income tax, destroy, enterprise)]
The rollback destroyed this steady progress.;[(the rollback, destroyed, this steady progress)]
Sanctions destroy the South African economy, so, too, will be the prospects for revolutionary, or even evolutionary, change.;[(Sanctions, destroy, the economy)]
Mr. Lee quotes an unnamed GM executive who said Roger had purposely set out to destroy all morale in what was once the most confident and secure company going.;[(Roger, destroy, morale)]
Efficiency doesn't destroy jobs, it generates the wealth to create new, and usually better, jobs.;[(Efficiency, destroy, job)]
The press release describes Nina as a manipulative woman determined to love and, if need be, destroy the men in her life.;[(Nina, destroy, the men)]
In the extreme we have revolution, where the existing social contract is dissolved.;[(the social contract, be dissolved)]
Of course, the bondholders will have to ask: Is dissolving the company better than reorganization?;[(bondholder, dissolve, the company)]
So, as the team investigating the disaster homed in on two top generals, on May 27 President Zia dissolved the civilian side of the government.;[(President Zia, dissolve, the civilian side of the government)]
The sensitivity of the Jewish vote is illustrated by the fact that the Bush campaign dissolved an early advisory group on the Middle East in part because it was seen as too pro-Arab.;[(the Bush campaign, dissolve, an advisory group)]
But Jamie officials said that investors and officials of the firm agreed that, given Mr. Mulheren’s continued incapacitation, the firm should be dissolved.;[(the firm, be dissolved)]
But political analysts said that by naming a Socialist-dominated government, Mr. Mitterrand was clearly trying to provoke a negative reaction from the right to dissolve the National Assembly quickly.;[(Mr. Mitterrand, dissolve, the National Assembly)]
GM's sales were apparently dragged down by a lackluster performance at its Chevrolet division.;[(GM's sale, be dragged down, a lackluster performance )]
A late Tokyo rally concentrated in railways and banks helped indexes trim their losses, but electrical stocks, which fell sharply early in the afternoon session and dragged the indexes with them, failed to recover.;[(electrical stock, drag, the indexe)]
But even though the leaders of the Communist Party have accepted much of Solidarity's platform, they are dragging their feet.;[(Communist Party leader, drag, their feet)]
Everybody stands up at the session to make sure the meeting doesn't drag on and interrupt the day's routine.;[(the meeting, drag on)]
As a result, gold and silver were dragged down more by platinum than by crude oil, he said.;[(gold and silver, be dragged down, platinum)]
Every four years we can count on a presidential election, the Olympics, and Mr. Schlesinger dragging out his tired old essay on why he doesn't like the electoral college.;[(Mr. Schlesinger, drag out, his essay)]
That in turn will help drag down growth next year, it adds.;[(it, drag down, growth )]
If the June deficit turns out to have been significantly wider than in May, many analysts expect the dollar to drop sharply and to drag bond prices down with it.;[(the dollar, drag down, bond price)]
Big technology stocks, hit hard by yesterday's downturn on Wall Street, dragged down the main over-the-counter market indicators.;[(technology stock, drag down, the main over-the-counter market indicator)]
The oil-service business has been dragging the company's stock price down since the oil industry peaked in 1981.;[(the oil-service business, be dragged down, the company's stock price )]
Failure to pull off the buy-back can only add to problems that have dragged Home Shopping's stock down from a peak of $47 a share in January 1987 and left management with credibility problems.;[(problems, drag, Home Shopping's stock down)]
Ronald Reagan, as popular on Main Street, U.S.A., as any recent president, expressed his affection for the SBA by marking it for extinction, along with Amtrak, the Export-Import Bank, the Economic Development Administration, and other programs deemed to be drinking too deeply from the federal budget trough.;[(Ronald Reagan, drink, from the federal budget)]
"Lower-alcohol beer is favored by ""session drinkers"" who spend an entire evening in a pub and are accustomed to drinking English beer which, despite its robust taste, generally is less potent than Australian or U.S. brands.";[(session drinker, drink, English beer)]
Camille's father, Wolfy, former winner of the Indianapolis 500, is driven to drink by the exploits of his ex-wife Rose, author of a feminist denunciation of the Daleys and the host of her own talk show.;[(father, be driven to drink, the exploit of his ex-wife Rose)]
All agree that the state must diversify its industrial base to escape the recently detrimental reliance on oil, said Ron Jones, chairman of the New Orleans Business Council and president of Louisiana Coca Cola Bottling Ltd.;[(the state, escape, the recently detrimental reliance on oil)]
Kimberlon, the costume maker, tried generic packaging to escape the seasonal trap, even eliminating the word Halloween.;[(the costume maker, escape, the seasonal trap)]
Brian J. Luedtke, a technical analyst at Piper, Jaffray & Hopwood, Minneapolis, said he believes investors need further evidence about the economy's direction before the market will be able to escape its recent malaise.;[(investor, escape, its malaise)]
The ruling appears to narrow slightly a loophole through which the Fed has allowed state-chartered banks to escape the Bank Holding Company Act's bar against insurance sales.;[(bank, escape, the Bank Holding Company Act's bar against insurance sale)]
Mr. Tennyson said it's unfair that foreign cigarette manufacturers who advertise through U.S. magazines will escape the ban.;(cigarette manufacturer, escape, the ban)]
Largely in response to that study, Congress included a provision in the 1986 act that was designed to ensure that no company reporting profit to its shareholders could escape tax altogether.;[(companie, escape, tax)]
Some industry executives say Coke and Pepsi bottlers are locked in a battle from which they can't escape.;[(Coke and Pepsi bottler, escape, the battle)]
We are not so advanced as a people that we can escape entirely those fears of shortages and deprivation that gripped our ancestors when nature turned ugly.;[(we, escape, fear of shortage and deprivation)]
It seems that Mr. Jackson escapes the media's searching questions of experience, public policy, and character that other candidates are subjected to because of the delicate racial issue.;[(Mr. Jackson, escape, the media's searching question)]
"And Mr. Bush sometimes seemed to get lost in his own rhetoric-making, repeating, for example, references to ""a thousand points of light,"" a concept he used in his acceptance speech at the Republican convention but which seemed to escape most of the audience.";[(Mr. Bush, escape, the audience)]
"The attraction: flexibility, a way to escape the corporate ""glass ceiling,"" and an experienced franchiser to help them learn the ropes.";[(people, escape, the corporate glass ceiling)]
The hearings will examine the participation of pension funds and other nonprofit groups in backing a $20.3 billion buy-out offer for RJR Nabisco Inc. and other similar transactions.;[(the hearing, examine, the participation of pension fund)]
The secrecy has frustrated analysts, reporters and lawmakers who have been anxious to examine the incentives and costs.;[(reporter and lawmaker, examine, the incentive and cost)]
Watch these acclaimed motor-mouths crank it to the max, in order to examine all aspects of the electoral process in a single hour.;[(motor-mouth, examine, the electoral process)]
The House panel is examining whether Rep. Wright's 55% royalties from his book amounted to improper conversion of campaign funds to personal use.;[(the House panel, examine, whether Rep. Wright's royalties amounted to improper conversion of campaign funds)]
We ought to start examining which countries aren't going to pay us back and cut them off.;[(we, examine, which countries aren't going to pay us back)]
Federal investigators also are examining whether Peck employees may have emulated any improper trading.;[(federal investigator, examine, whether Peck employees may have emulated improper trading)]
Stories of dog restaurants being shooed from areas tourists frequent filled the foreign press.;[(dog restaurant, fill, the foreign press)]
The stock market's sideways course this year may fill many investors with frustration, but to one Ohio money manager, it spells opportunity.;[(the stock market, fill, many investor with frustration)]
The subject is Oedipus's death, and perhaps because death is the one thing that still fills us with awe, the excellence of this scene transmits a shiver of the tragedy's original force.;[(death, fill, us with awe)]
Mr. Vann's life is a stunning story, its surface brilliance concealing sexual compulsions that filled his private life with lies.;[(Mr. Vann's life, fill, his private life with lies)]
I found that the journalists were delighted to find a young person interested enough in their trade to come in and go through the press clippings in those fascinating metal drawers that filled the morgue.;[(journalists, fill, the morgue)]
