Sentence	Output
Plus encore, il a plongé dans les tréfonds du désespoir l'une des économies les plus fortes d' Afrique.	  [il,plonger,économie]
En s'en prenant à ce groupe plutôt qu'aux problèmes, les dirigeants des groupes ont manqué une belle occasion.	[dirigeant,s'en prendre,à problème]
Nous devons protéger ces industries qui créent des emplois et donnent du tonus à notre économie - non seulement dans le domaine local mais aussi européen.	[industrie,donner,du tonus]
Après cette audition, le Sunday Times a publié un article ce week-end qui jette davantage de doutes sur la véracité des réponses de M. Busquin au Parlement.	[article,jeter,doute]
En outre , en ce qui concerne la viande ovine, question vitale pour les agriculteurs européens, particulièrement les Irlandais, des accords mal négociés avec la Nouvelle-Zélande font qu'il n'existe aucun contrôle pour empêcher une politique néo-zélandaise délibérée d'inonder le marché européen aux périodes de production maximale.	[politioque,inonder,le marché]
La question que nous soulevons est celle de savoir quel doit être le profil politique de nos relations dix ans après la signature du nouvel agenda transatlantique de 1995 et quinze ans après la déclaration transatlantique de 1990 .	[nous,soulever,question]
Grâce au progrès technologique, ces idées sur les droits de l'enfant doivent à présent être liées à la cyber-sécurité, car nous avons vu qu' nternet - malgré sa merveilleuse vocation, sa brillante innovation et les opportunités qu'il nous offre à tous - pouvait être utilisé par des personnes voulant corrompre les esprits innocents et détourner l'utilisation de l'internet par le trafic de pédophilie et la pornographie infantile.	[personne,corrompre,l'esprit]
Ce que j'ai entendu au sujet du représentant au Nicaragua indique que le projet n'a pas été correctement clôturé.	[le projet,être clôturer, ]
Nous pouvons briser ce cercle vicieux en reconnaissant la légitimité du travail non rémunéré, en encourageant les femmes à travailler et à affirmer leur indépendance sur le plan économique, en nous attaquant aux causes structurelles de la ségrégation sur le marché du travail et en tenant compte de la situation des femmes dans le cadre de la réforme des régimes de retraite .	[nous,briser,cercle]
J'ai bon espoir que la nouvelle politique de la dimension septentrionale, dont la gestion sera à l'avenir partagée entre l'Union européenne, la Russie, la Norvège et l'Islande, bénéficie de manière substantielle à la région de la mer Baltique, car aucun des défis auxquelles celle-ci se voit confrontée ne peut être relevé sans une véritable participation de la Russie , tout comme aucun des défis auxquels doit faire face la mer de Barents ne peut être traité sans la Russie et la Norvège .	[défi,être relevé, ]
