Sentence	Output
Des dispositions obligent les établissements financiers de l' Union à réduire substantiellement le coût des transferts d' argent d' un pays à l' autre de la zone euro .	[]
Nous allons devoir trouver une solution à ce problème beaucoup plus rapidement et , en particulier , nous allons devoir résoudre la question très délicate de l' incinération qui , dans la plupart des pays je pense , suscite pas mal de controverses au niveau local lorsqu'on la soulève .	[]
Je peux dire également que les Présidences française et tchèque ont déployé des efforts qui se sont révélés déterminants dans la recherche d' une réponse aux préoccupations du peuple irlandais .	[]
Pourquoi isoler le fondamentalisme religieux et le montrer du doigt alors que , de toute façon , nous ne comprenons pas vraiment la signification et la philosophie qui se cache derrière l' islam ?	[]
Je voudrais expliquer à Mme Izquierdo qu' il vaut beaucoup mieux réduire le taux de croissance de l' agriculture afin de protéger l' argent qui est actuellement destinée aux populations les plus pauvres de ce monde , parce que l' alternative serait de resserrer davantage les lignes budgétaires de la catégorie 4 .	[]
Je suis honorée de l' occasion qui m' est offerte de dire quelques mots .	[]
Le problème principal à présent ce ne sont pas la nourriture et les médicaments mais surtout l' abri et la recherche de moyens pour ces gens de gagner leur vie pendant les mois à venir .	[]
En tant que représentant des chrétiens-démocrates suédois , qui considèrent l' élargissement de l' UE vers l' est comme l' une des questions dont l' importance est la plus évidente , je voudrais exprimer les remarques suivantes , en vue du travail que nos gouvernements et chefs d' États sont appelés à effectuer , au sein de la conférence dite intergouvernementale , sur les compétences et les processus de décision de l' Union européenne .	[]
Chaque État membre utilise ses propres trucs et astuces pour veiller à empêcher les gens d' exercer une profession dans un autre pays .	[]
Nous devrons finir par le faire , par corriger l' équilibre institutionnel et par trouver une manière d' avancer .	[]
Il n' est pas question de déroger à ces engagements .	[]
Enfin , notre proposition permettra de réduire considérablement les frais de brevetage en Europe , car elle évite des frais de traduction supplémentaires en limitant le nombre de langues aux trois langues de l' Office européen des brevets .	[]
Dans l' Union européenne , environ 55 % de fonds privés sont investis , par rapport à 45 % de fonds publics .	[]
C' est pourquoi j' adhère de tout cur à l' établissement de partenariats public-privé afin de faire en sorte que l' argent et les revenus supplémentaires générés grâce au marché unique au sein de l' Union européenne soient réinvestis dans l' Union au lieu de permettre à l' argent placé dans des fonds de retraite , etc. , d' être investi dans des pays hors UE , faisant que l' Union dans son ensemble ne retire rien de cet argent .	[]
Vu la réforme des mécanismes financiers de l' UE et la limitation des fonds structurels et de cohésion à certains pays en vertu du train de réformes visées dans l' Agenda 2000 , il est essentiel de trouver de nouveaux modes de financement pour ces projets absolument indispensables .	[]
Quant à la question de Mme Lynne sur les paiements provisoires , c' est un sujet dont peut très bien s' occuper le Parlement , étant donné qu' il est lié au budget .	[]
N' importe quelle personne à qui vous parlerez du côté palestinien vous dira que ce sont les femmes et les enfants qui ont toujours le plus souffert , mais que ce sont également eux qui ont été les plus persévérants dans la recherche d' une solution à l' absence de négociations , au non-respect des engagements , à l' incapacité de mettre fin au conflit , en d' autres mots au non-respect , tant par Israël que par la Palestine , de leurs engagements , des accords qu' ils ont signé volontairement , au non-respect par les États-Unis et l' Union européenne de leurs engagements en faveur de négociations claires et ouvertes , à l' absence de volonté de la part des autres États bordant Israël et la Palestine à jouer un rôle plus proactif et plus positif en vue de la mise en œuvre , à terme , d' une solution à deux États viable et équitable .	[]
Ceci est tout particulièrement important pour les entreprises investissant des capitaux de fonds de pension .	[]
Le Livre vert sur le recours collectif des consommateurs présente différentes solutions à ce problème .	[]
Nous avons besoin des États membres , nous avons besoin des institutions européennes , nous avons besoin de l' ensemble des partenaires et de la société , nous avons besoin en particulier de l' engagement et du soutien actifs de ce Parlement , du Parlement européen , pour élaborer cette stratégie et pour la communiquer aux citoyens .	[]
"Normalement , je ne prête pas grande attention aux documents fournis par les groupes de pression au sein de ce Parlement , en particulier si ceux-ci émanent de l' industrie , mais j' ai été stupéfaite à la lecture du document "" Cosmétiques - votre choix , notre responsabilité "" rédigé par l' Association européenne des cosmétiques , produits de toilette , et parfums ."	[]
Ajoutez à cela que nos émissions de CO 2 définies à Kyoto ont dépassé de 22 % le niveau de 1990 - d' ores et déjà 10 % au-dessus de l' objectif fixé pour 2010 - et le fait qu' une suppression ou une diminution de la taxe d' immatriculation ne réduira que peu , voire pas du tout , le prix des voitures , parce que les constructeurs automobiles ont dû baisser leurs prix pour compenser notre régime de taxation élevé - et qu' ils inverseront leurs prix si les charges fiscales sont allégées - , et vous obtenez une situation très compliquée .	[]
La création d' une agence spécifique pour toutes les questions d' immigration légale et illégale serait très utile pour appréhender ces problèmes de manière complète et intégrée .	[]
Premièrement , concernant la sécurité sociale et le marché du travail , le rapport demande à la Commission d' organiser avant la fin de cette année une conférence internationale réunissant les États membres et les pays candidats et consacrée à la question des travailleurs frontaliers .	[]
Dès lors , on en arrive à la situation d' un vaisseau transportant un chargement dangereux qui arrive à entrer dans un port en manipulant ces contradictions .	[]
Les instituts de recherche et les scientifiques attendent une action rapide et coordonnée de la Commission et du Conseil pour répondre à cette question , de sorte à leur fournir des chances égales de participer aux programmes-cadres .	[]
Ce processus a vu le jour à Laeken il y a de nombreuses années et a impliqué différents organes démocratiques et des discussions au fil des ans afin de rechercher une solution commune qui permettrait de prendre des décisions de manière à la fois efficace , plus moderne et plus démocratique .	[]
Nous devrions considérer cette Commission comme un collège et , alors que les commissaires individuels doivent être tenus pour responsables , nous devons toutefois apprécier objectivement la situation et veiller à ce que des politiques de partis européens ou des politiques internationales ne faussent notre jugement .	[]
Par ailleurs , il y a une opposition généralisée à cette idée , à juste titre , soulignant que sa nécessité nous détourne dangereusement de la résolution des problèmes qui sont réellement en jeu. .	[]
